variables,units,values,description
blade.interp_airfoils.ac,,[0.275 0.5   0.275 0.275 0.275 0.275 0.275],1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.r_thick,,[0.4  1.   0.3  0.21 0.25 0.35 0.18],1D array of the relative thicknesses of each airfoil.
blade.interp_airfoils.aoa,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
blade.interp_airfoils.cl,,"[[[[ 0.0127743 ]]

  [[ 0.13793047]]

  [[ 0.25559236]]

  ...

  [[-0.26257169]]

  [[-0.13092571]]

  [[ 0.0127743 ]]]


 [[[ 0.        ]]

  [[ 0.        ]]

  [[ 0.        ]]

  ...

  [[ 0.        ]]

  [[ 0.        ]]

  [[ 0.        ]]]


 [[[ 0.0496421 ]]

  [[ 0.18220416]]

  [[ 0.30677859]]

  ...

  [[-0.3132813 ]]

  [[-0.14477916]]

  [[ 0.0496421 ]]]


 ...


 [[[-0.00261647]]

  [[ 0.22663872]]

  [[ 0.44716098]]

  ...

  [[-0.44766337]]

  [[-0.22869574]]

  [[-0.00261647]]]


 [[[ 0.0180443 ]]

  [[ 0.14463268]]

  [[ 0.26371084]]

  ...

  [[-0.2666802 ]]

  [[-0.13073813]]

  [[ 0.0180443 ]]]


 [[[-0.00129808]]

  [[ 0.2270436 ]]

  [[ 0.45184039]]

  ...

  [[-0.49535841]]

  [[-0.27151279]]

  [[-0.00129808]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd,,"[[[[0.06162547]]

  [[0.06375071]]

  [[0.07518705]]

  ...

  [[0.0772995 ]]

  [[0.06488516]]

  [[0.06162547]]]


 [[[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]

  ...

  [[0.5       ]]

  [[0.5       ]]

  [[0.5       ]]]


 [[[0.02308492]]

  [[0.03508605]]

  [[0.05401565]]

  ...

  [[0.05569499]]

  [[0.03567476]]

  [[0.02308492]]]


 ...


 [[[0.01677446]]

  [[0.02984757]]

  [[0.049723  ]]

  ...

  [[0.0512685 ]]

  [[0.03054343]]

  [[0.01677446]]]


 [[[0.03773591]]

  [[0.04799422]]

  [[0.06549366]]

  ...

  [[0.06432708]]

  [[0.04707103]]

  [[0.03773591]]]


 [[[0.01799703]]

  [[0.03022812]]

  [[0.04946319]]

  ...

  [[0.04774129]]

  [[0.02879544]]

  [[0.01799703]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cm,,"[[[[ 3.70854259e-04]]

  [[ 5.58689675e-02]]

  [[ 1.08178030e-01]]

  ...

  [[-1.18705125e-01]]

  [[-6.10065045e-02]]

  [[ 3.70854259e-04]]]


 [[[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  ...

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]

  [[ 0.00000000e+00]]]


 [[[-1.86042725e-07]]

  [[ 8.27407722e-02]]

  [[ 1.65880476e-01]]

  ...

  [[-1.66136939e-01]]

  [[-8.28313199e-02]]

  [[-1.86042725e-07]]]


 ...


 [[[-5.55629713e-07]]

  [[ 1.10702401e-01]]

  [[ 2.21621437e-01]]

  ...

  [[-2.21805077e-01]]

  [[-1.10769729e-01]]

  [[-5.55629713e-07]]]


 [[[ 4.09061074e-04]]

  [[ 5.60420416e-02]]

  [[ 1.08476520e-01]]

  ...

  [[-1.17541532e-01]]

  [[-6.03866175e-02]]

  [[ 4.09061074e-04]]]


 [[[-1.16934629e-07]]

  [[ 1.12800272e-01]]

  [[ 2.25800263e-01]]

  ...

  [[-2.25744029e-01]]

  [[-1.12745924e-01]]

  [[-1.16934629e-07]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.coord_xy,,"[[[ 1.00000000e+00 -3.47000010e-03]
  [ 9.82059782e-01  4.47998271e-04]
  [ 9.63825795e-01  2.56230054e-03]
  ...
  [ 9.66589031e-01  1.42523879e-02]
  [ 9.83283080e-01  8.83657527e-03]
  [ 1.00000000e+00  3.47000010e-03]]

 [[ 1.00000000e+00  0.00000000e+00]
  [ 9.99310113e-01 -2.24586628e-02]
  [ 9.97715675e-01 -4.48159779e-02]
  ...
  [ 9.97767307e-01  4.41944433e-02]
  [ 9.99327246e-01  2.21465777e-02]
  [ 1.00000000e+00 -5.92245437e-18]]

 [[ 1.00000000e+00 -2.46000000e-03]
  [ 9.79182514e-01  2.21522127e-03]
  [ 9.58045687e-01  5.01713457e-03]
  ...
  [ 9.60781257e-01  1.32444951e-02]
  [ 9.80406715e-01  7.93618866e-03]
  [ 1.00000000e+00  2.46000000e-03]]

 ...

 [[ 1.00000000e+00 -2.13100000e-03]
  [ 9.77589551e-01  1.91382544e-03]
  [ 9.55115490e-01  5.46087449e-03]
  ...
  [ 9.57108237e-01  1.39643103e-02]
  [ 9.78595852e-01  8.23338042e-03]
  [ 1.00000000e+00  2.13100000e-03]]

 [[ 1.00000000e+00 -2.83000000e-03]
  [ 9.81183777e-01  1.62237678e-03]
  [ 9.62006541e-01  4.01671112e-03]
  ...
  [ 9.64854654e-01  1.29112589e-02]
  [ 9.82422420e-01  7.86900286e-03]
  [ 1.00000000e+00  2.83000000e-03]]

 [[ 1.00000045e+00  0.00000000e+00]
  [ 9.76518138e-01  3.35034582e-03]
  [ 9.52834961e-01  4.56123120e-03]
  ...
  [ 9.53599193e-01  1.29998706e-02]
  [ 9.76918521e-01  6.94886654e-03]
  [ 1.00000045e+00 -1.08420266e-19]]]",3D array of the x and y airfoil coordinates of the n_af airfoils.
blade.interp_airfoils.name,Unavailable,"['DU40_A17', 'Cylinder', 'DU30_A17', 'DU21_A17', 'DU25_A17', 'DU35_A17', 'NACA64_A17']",1D array of names of airfoils.
blade.high_level_blade_props.blade_ref_axis_user,m,"[[ 0.          0.          0.        ]
 [ 0.          0.          2.12068966]
 [ 0.          0.          4.24137931]
 [ 0.          0.          6.36206897]
 [ 0.          0.          8.48275862]
 [ 0.          0.         10.60344828]
 [ 0.          0.         12.72413793]
 [ 0.          0.         14.84482759]
 [ 0.          0.         16.96551724]
 [ 0.          0.         19.0862069 ]
 [ 0.          0.         21.20689655]
 [ 0.          0.         23.32758621]
 [ 0.          0.         25.44827586]
 [ 0.          0.         27.56896552]
 [ 0.          0.         29.68965517]
 [ 0.          0.         31.81034483]
 [ 0.          0.         33.93103448]
 [ 0.          0.         36.05172414]
 [ 0.          0.         38.17241379]
 [ 0.          0.         40.29310345]
 [ 0.          0.         42.4137931 ]
 [ 0.          0.         44.53448276]
 [ 0.          0.         46.65517241]
 [ 0.          0.         48.77586207]
 [ 0.          0.         50.89655172]
 [ 0.          0.         53.01724138]
 [ 0.          0.         55.13793103]
 [ 0.          0.         57.25862069]
 [ 0.          0.         59.37931034]
 [ 0.          0.         61.5       ]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.high_level_blade_props.rotor_diameter_user,m,[126.],Diameter of the rotor specified by the user. It is defined as two times the blade length plus the hub diameter.
blade.high_level_blade_props.hub_radius,m,[1.5],Radius of the hub. It defines the distance of the blade root from the rotor center along the coned line.
blade.compute_reynolds.rho,kg/m**3,[1.225],
blade.compute_reynolds.mu,kg/m/s,[1.81e-05],
blade.compute_reynolds.local_airfoil_velocities,m/s,"[ 7.81976055  8.72636191  9.33363226 10.5263881  12.14862548 13.96918749
 15.90608808 17.77328885 19.67362797 21.61517546 23.58438695 25.57381442
 27.57928186 29.59880428 31.63523738 33.67841551 35.73392184 37.79015657
 39.85744603 41.93654399 44.02183409 46.10487953 48.19135023 50.27949123
 52.36983505 54.46013032 56.54891268 58.63155136 60.73069349 62.18744079]",
blade.compute_reynolds.chord,m,"[3.542      3.62806621 3.87018985 4.11303764 4.35527783 4.56518965
 4.61432759 4.62858621 4.52824138 4.42556897 4.31746552 4.20310345
 4.07793103 3.94894827 3.81498276 3.68437931 3.55713793 3.42989655
 3.30265517 3.17541379 3.04817241 2.92093103 2.79368966 2.66644828
 2.5392069  2.41196655 2.27386436 2.09774152 1.60299411 1.419     ]",
blade.compute_coord_xy_dim.chord,m,"[3.542      3.62806621 3.87018985 4.11303764 4.35527783 4.56518965
 4.61432759 4.62858621 4.52824138 4.42556897 4.31746552 4.20310345
 4.07793103 3.94894827 3.81498276 3.68437931 3.55713793 3.42989655
 3.30265517 3.17541379 3.04817241 2.92093103 2.79368966 2.66644828
 2.5392069  2.41196655 2.27386436 2.09774152 1.60299411 1.419     ]",1D array of the chord values defined along blade span.
blade.compute_coord_xy_dim.pitch_axis,,"[0.5        0.49151228 0.46763951 0.44376674 0.41989397 0.4
 0.4        0.4        0.4        0.4        0.4        0.4
 0.4        0.4        0.4        0.4        0.4        0.4
 0.4        0.4        0.4        0.4        0.4        0.4
 0.4        0.4        0.4        0.4        0.4        0.4       ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.compute_coord_xy_dim.coord_xy_interp,,"[[[ 1.00000000e+00  4.33680869e-19]
  [ 9.99310113e-01 -2.24586628e-02]
  [ 9.97715675e-01 -4.48159779e-02]
  ...
  [ 9.97767307e-01  4.41944433e-02]
  [ 9.99327246e-01  2.21465777e-02]
  [ 1.00000000e+00 -6.93889390e-18]]

 [[ 1.00000000e+00 -1.79523317e-04]
  [ 9.98907231e-01 -2.19287005e-02]
  [ 9.96942612e-01 -4.35334724e-02]
  ...
  [ 9.97067481e-01  4.34585243e-02]
  [ 9.98961147e-01  2.18874403e-02]
  [ 1.00000000e+00  1.73653594e-04]]

 [[ 1.00000000e+00 -1.80437969e-03]
  [ 9.94647553e-01 -1.63171224e-02]
  [ 9.88734878e-01 -3.02596019e-02]
  ...
  [ 9.89615253e-01  3.57417519e-02]
  [ 9.95074439e-01  1.90424314e-02]
  [ 1.00000000e+00  1.74538340e-03]]

 ...

 [[ 1.00000000e+00  1.15158179e-04]
  [ 9.76517692e-01  2.75561392e-03]
  [ 9.52834515e-01  4.25516776e-03]
  ...
  [ 9.53598747e-01  1.28938799e-02]
  [ 9.76918075e-01  6.56229716e-03]
  [ 1.00000000e+00  1.15158179e-04]]

 [[ 1.00000000e+00  1.15158179e-04]
  [ 9.76517692e-01  2.75561392e-03]
  [ 9.52834515e-01  4.25516776e-03]
  ...
  [ 9.53598747e-01  1.28938799e-02]
  [ 9.76918075e-01  6.56229716e-03]
  [ 1.00000000e+00  1.15158179e-04]]

 [[ 1.00000000e+00  1.15158179e-04]
  [ 9.76517692e-01  2.75561392e-03]
  [ 9.52834515e-01  4.25516776e-03]
  ...
  [ 9.53598747e-01  1.28938799e-02]
  [ 9.76918075e-01  6.56229716e-03]
  [ 1.00000000e+00  1.15158179e-04]]]",3D array of the non-dimensional x and y airfoil coordinates of the airfoils interpolated along span for n_span stations. The leading edge is place at x=0 and y=0.
blade.internal_structure_2d_fem.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.internal_structure_2d_fem.web_rotation_yaml,rad,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]","2D array of the rotation angle of the shear webs in respect to the chord line. The first dimension represents each shear web, the second dimension represents each entry along blade span. If the rotation is equal to negative twist +- a constant, then the web is built straight."
blade.internal_structure_2d_fem.web_offset_y_pa_yaml,m,"[[-0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3
  -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3 -0.3
  -0.3 -0.3]
 [ 0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3
   0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3  0.3
   0.3  0.3]]","2D array of the offset along the y axis to set the position of the shear webs. Positive values move the web towards the trailing edge, negative values towards the leading edge. The first dimension represents each shear web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.web_start_nd_yaml,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]","2D array of the non-dimensional start point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.web_end_nd_yaml,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
  0. 0. 0. 0. 0. 0.]]","2D array of the non-dimensional end point defined along the outer profile of a web. The TE suction side is 0, the TE pressure side is 1. The first dimension represents each web, the second dimension represents each entry along blade span."
blade.internal_structure_2d_fem.layer_web,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 2. 2. 2.],"1D array of the web id the layer is associated to. If the layer is on the outer profile, this entry can simply stay equal to zero."
