variables,units,values,description
Iyy,m**4,[1.4257701  1.42583624 1.42590239 5.7037561  5.70488011 5.70600426],
d_full,m,"[6.50125894 6.50135926 6.50145959 6.50155992 6.50198344 6.50240696
 6.50283048]",
t_full,m,[0.01329389 0.01329389 0.01329389 0.05418497 0.05418497 0.05418497],
cm.rho,kg/m**3,[8500. 8500. 8500. 8500. 8500. 8500.],
cm.outfitting_factor,,[1.07 1.07 1.07 1.07 1.07 1.07],
cm.material_cost_rate,USD/kg,[2. 2. 2. 2. 2. 2.],
labor_cost_rate,USD/min,[1.66666667],
painting_cost_rate,USD/m**2,[30.],
tm.cylinder_mass,kg,"[ 35980.69160918  35981.24798879  35981.8043684  145740.89703734
 145750.47029321 145760.04354908]",
tm.cylinder_cost,USD,[2450078.59698303],
tm.cylinder_center_of_mass,m,[57.02860374],
tm.cylinder_section_center_of_mass,m,[ 7.30001881 21.90001881 36.50001881 51.10007992 65.70007991 80.30007991],
tm.cylinder_I_base,kg*m**2,"[2.02920531e+09 2.02920531e+09 5.68119863e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
transition_piece_height,m,[0.],
transition_piece_mass,kg,[0.],
transition_piece_cost,USD,[0.],
gravity_foundation_mass,kg,[0.],
rna_mass,kg,[285598.8],
rna_I,kg*m**2,"[1.14930678e+08 2.20354030e+07 1.87597425e+07 0.00000000e+00
 5.03710467e+05 0.00000000e+00]",
rna_cg,m,[-1.13197635  0.          0.50875268],
tower_mass,kg,[545195.154846],
monopile_mass,kg,[0.],
tower_center_of_mass,m,[57.02860374],
tower_I_base,kg*m**2,"[2.02920531e+09 2.02920531e+09 5.68119863e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
wind1.Uref,m/s,[11.73732],
wind_reference_height,m,[90.],
wind1.z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
z0,m,[0.],
shearExp,,[0.2],
wind1.windLoads.U,m/s,"[ 0.          8.15813738  9.37123899 10.16284414 10.76472681 11.25602413
 11.67404235]",
wind1.d,m,"[6.50125894 6.50135926 6.50145959 6.50155992 6.50198344 6.50240696
 6.50283048]",
beta_wind,deg,[0.],
rho_air,kg/m**3,[1.225],
mu_air,kg/m/s,[1.7934e-05],
cd_usr,,[-1.],
wind1.distLoads.windLoads_Px,N/m,"[  0.         171.58306582 236.97042773 283.68092939 321.21730159
 353.21760529 381.39719019]",
wind1.distLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.windLoads_qdyn,N/m**2,"[ 0.         40.76506337 53.7898236  63.26108317 70.97609776 77.60257345
 83.47349968]",
wind1.distLoads.windLoads_z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
wind1.distLoads.windLoads_beta,deg,[0.],
wind1.distLoads.waveLoads_Px,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_qdyn,N/m**2,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_z,m,[0. 0. 0. 0. 0. 0. 0.],
wind1.distLoads.waveLoads_beta,deg,[0.],
yaw,deg,[0.],
transition_piece_I,kg*m**2,[0. 0. 0. 0. 0. 0.],
gravity_foundation_I,kg*m**2,[0. 0. 0. 0. 0. 0.],
suctionpile_depth,m,[0.],
pre1.rna_F,N,[ 1284744.19620519        0.         -2914124.84400512],
pre1.rna_M,N*m,[ 3963732.76208099 -2275104.79420872  -346781.68192839],
pre1.z_soil,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
pre1.k_soil,N/m,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",
tower1.z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
tower1.E,N/m**2,[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11],
tower1.G,N/m**2,[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10],
tower1.rho,kg/m**3,[8500. 8500. 8500. 8500. 8500. 8500.],
tower1.d,m,"[6.50125894 6.50135926 6.50145959 6.50155992 6.50198344 6.50240696
 6.50283048]",
tower1.t,m,[0.01329389 0.01329389 0.01329389 0.05418497 0.05418497 0.05418497],
tower1.kidx,,[0.],
tower1.kx,N/m,[1.e+30],
tower1.ky,N/m,[1.e+30],
tower1.kz,N/m,[1.e+30],
tower1.ktx,N/m,[1.e+30],
tower1.kty,N/m,[1.e+30],
tower1.ktz,N/m,[1.e+30],
tower1.midx,,[0. 0.],
tower1.m,kg,[0. 0.],
tower1.mIxx,kg*m**2,[0. 0.],
tower1.mIyy,kg*m**2,[0. 0.],
tower1.mIzz,kg*m**2,[0. 0.],
tower1.mIxy,kg*m**2,[0. 0.],
tower1.mIxz,kg*m**2,[0. 0.],
tower1.mIyz,kg*m**2,[0. 0.],
tower1.mrhox,m,[0. 0.],
tower1.mrhoy,m,[0. 0.],
tower1.mrhoz,m,[0. 0.],
tower1.plidx,,[6.],
tower1.Fx,N,[1284744.19620519],
tower1.Fy,N,[0.],
tower1.Fz,N,[-2914124.84400512],
tower1.Mxx,N*m,[3963732.76208099],
tower1.Myy,N*m,[-2275104.79420872],
tower1.Mzz,N*m,[-346781.68192839],
tower1.Px,N/m,"[  0.         171.58306582 236.97042773 283.68092939 321.21730159
 353.21760529 381.39719019]",
tower1.Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
tower1.Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
E_full,N/m**2,[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11],
G_full,Pa,[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10],
rho_full,kg/m**3,[8500. 8500. 8500. 8500. 8500. 8500.],
sigma_y_full,N/m**2,[4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08 4.5e+08],
post1.tower_Fz,N,"[-7580970.54431686 -7251209.80026732 -6921443.9529042  -5585758.58174474
 -4249985.54544505 -2914124.84400513]",
post1.tower_Vx,N,"[1306691.87607382 1304495.25240235 1301320.38902543 1303821.7714548
 1299203.22681624 1293982.70454392]",
post1.tower_Vy,N,"[ -17.0095432   -50.93314275  -84.58150181 -426.74204741 -459.87186384
 -492.54267444]",
post1.tower_Mxx,N*m,"[4218748.64448621 4184558.97035378 4130252.68403254 4065681.68561776
 4009528.98849135 3963772.21813765]",
post1.tower_Myy,N*m,"[97724891.75584139 77837061.5894259  57633651.3921212  37363032.830763
 17380205.10081856 -2275038.73117742]",
post1.tower_Mzz,N*m,"[-346907.02610277 -346901.79751026 -346896.56914748 -346808.74951367
 -346803.5243054  -346798.29959874]",
post1.qdyn,N/m**2,"[ 0.         40.76506337 53.7898236  63.26108317 70.97609776 77.60257345
 83.47349968]",
life,,[0.],
wind2.Uref,m/s,[70.],
wind2.z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
wind2.windLoads.U,m/s,"[ 0.         48.6541746  55.88897032 60.61001064 64.19956827 67.12960785
 69.62261951]",
wind2.d,m,"[6.50125894 6.50135926 6.50145959 6.50155992 6.50198344 6.50240696
 6.50283048]",
wind2.distLoads.windLoads_Px,N/m,"[    0.          7969.69618768 11464.67407653 14282.94288658
 16742.77693827 18967.88138682 21023.17110112]",
wind2.distLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.windLoads_qdyn,N/m**2,"[   0.         1449.92758225 1913.19091482 2250.06370101 2524.47054693
 2760.1603528  2968.97685322]",
wind2.distLoads.windLoads_z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
wind2.distLoads.windLoads_beta,deg,[0.],
wind2.distLoads.waveLoads_Px,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_qdyn,N/m**2,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_z,m,[0. 0. 0. 0. 0. 0. 0.],
wind2.distLoads.waveLoads_beta,deg,[0.],
pre2.rna_F,N,[  930198.60063279        0.         -2883106.12368949],
pre2.rna_M,N*m,[-1683669.22411597 -2522475.34625363   147301.97023764],
pre2.z_soil,N/m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
pre2.k_soil,N/m,"[[0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0.]]",
tower2.z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
tower2.E,N/m**2,[2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11 2.1e+11],
tower2.G,N/m**2,[8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10 8.08e+10],
tower2.rho,kg/m**3,[8500. 8500. 8500. 8500. 8500. 8500.],
tower2.d,m,"[6.50125894 6.50135926 6.50145959 6.50155992 6.50198344 6.50240696
 6.50283048]",
tower2.t,m,[0.01329389 0.01329389 0.01329389 0.05418497 0.05418497 0.05418497],
tower2.kidx,,[0.],
tower2.kx,N/m,[1.e+30],
tower2.ky,N/m,[1.e+30],
tower2.kz,N/m,[1.e+30],
tower2.ktx,N/m,[1.e+30],
tower2.kty,N/m,[1.e+30],
tower2.ktz,N/m,[1.e+30],
tower2.midx,,[0. 0.],
tower2.m,kg,[0. 0.],
tower2.mIxx,kg*m**2,[0. 0.],
tower2.mIyy,kg*m**2,[0. 0.],
tower2.mIzz,kg*m**2,[0. 0.],
tower2.mIxy,kg*m**2,[0. 0.],
tower2.mIxz,kg*m**2,[0. 0.],
tower2.mIyz,kg*m**2,[0. 0.],
tower2.mrhox,m,[0. 0.],
tower2.mrhoy,m,[0. 0.],
tower2.mrhoz,m,[0. 0.],
tower2.plidx,,[6.],
tower2.Fx,N,[930198.60063279],
tower2.Fy,N,[0.],
tower2.Fz,N,[-2883106.12368949],
tower2.Mxx,N*m,[-1683669.22411597],
tower2.Myy,N*m,[-2522475.34625363],
tower2.Mzz,N*m,[147301.97023764],
tower2.Px,N/m,"[    0.          7969.69618768 11464.67407653 14282.94288658
 16742.77693827 18967.88138682 21023.17110112]",
tower2.Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
tower2.Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
post2.tower_Fz,N,"[-7549951.82400121 -7220191.07995168 -6890425.23258856 -5554739.86142908
 -4218966.8251294  -2883106.12368949]",
post2.tower_Vx,N,"[2039721.23008724 1898797.41094529 1711546.86469723 1493144.12690229
 1232743.62365316  940924.55752097]",
post2.tower_Vy,N,"[  7.22266427  21.6276063   35.91615138 181.21169828 195.2818641
 209.15819347]",
post2.tower_Mxx,N*m,"[-1791403.91978297 -1776945.44824911 -1753983.81386405 -1726687.27291484
 -1702974.77651068 -1683685.98313811]",
post2.tower_Myy,N*m,"[ 1.17819390e+08  8.79989111e+07  6.01907684e+07  3.52894907e+07
  1.42153494e+07 -2.52242835e+06]",
post2.tower_Mzz,N*m,"[147355.00366412 147352.78273172 147350.56189691 147313.41616768
 147311.19666821 147308.9773818 ]",
post2.qdyn,N/m**2,"[   0.         1449.92758225 1913.19091482 2250.06370101 2524.47054693
 2760.1603528  2968.97685322]",
sigma_ult,Pa,[6.e+08 6.e+08],
wohler_exp,,[10. 10.],
wohler_A,,[10. 10.],
z_start,m,[0.],
height_constraint,m,[0.],
unit_cost_full,USD/kg,[2. 2. 2. 2. 2. 2.],
outfitting_full,,[1.07 1.07 1.07 1.07 1.07 1.07],
sec_loc,,[0. 1.],normalized sectional location
str_tw,deg,[0. 0.],structural twist of section
tw_iner,deg,[0. 0.],inertial twist of section
mass_den,kg/m,[2464.46904033 9982.90892419],sectional mass per unit length
foreaft_iner,kg*m,[12119.60804785 48491.4809092 ],sectional fore-aft intertia per unit length about the Y_G inertia axis
sideside_iner,kg*m,[12119.60804785 48491.4809092 ],sectional side-side intertia per unit length about the Y_G inertia axis
foreaft_stff,N*m**2,[2.99425611e+11 1.19802482e+12],sectional fore-aft bending stiffness per unit length about the Y_E elastic axis
sideside_stff,N*m**2,[2.99425611e+11 1.19802482e+12],sectional side-side bending stiffness per unit length about the Y_E elastic axis
tor_stff,N*m**2,[2.30415137e+11 9.21908625e+11],sectional torsional stiffness
axial_stff,N,[5.69036282e+10 2.30501470e+11],sectional axial stiffness
cg_offst,m,[0. 0.],offset from the sectional center of mass
sc_offst,m,[0. 0.],offset from the sectional shear center
tc_offst,m,[0. 0.],offset from the sectional tension center
axial_load2stress,m**2,"[[0.         0.         3.69045009 2.27985839 2.27985839 0.        ]
 [0.         0.         0.91105709 0.56988009 0.56988009 0.        ]]",
shear_load2stress,m**2,"[[6.07240587 6.07240587 0.         0.         0.         1.13992919]
 [1.49478004 1.49478004 0.         0.         0.         0.28494005]]",
cm.cost,USD,[2450078.59698303],
cm.mass,kg,"[ 35980.69160918  35981.24798879  35981.8043684  145740.89703734
 145750.47029321 145760.04354908]",
cm.center_of_mass,m,[57.02860374],
cm.section_center_of_mass,m,[ 7.30001881 21.90001881 36.50001881 51.10007992 65.70007991 80.30007991],
cm.I_base,kg*m**2,"[2.02920531e+09 2.02920531e+09 5.68119863e+06 0.00000000e+00
 0.00000000e+00 0.00000000e+00]",
structural_cost,USD,[2450078.59698303],
structural_mass,kg,[545195.154846],
tower_cost,USD,[2450078.59698303],
tower_section_center_of_mass,m,[ 7.30001881 21.90001881 36.50001881 51.10007992 65.70007991 80.30007991],
monopile_cost,USD,[0.],
constr_d_to_t,,[489.05229447 119.999984  ],
constr_taper,,[0.99995371 0.99980461],
slope,,[1.0000463  1.00019542],
turbine_mass,kg,[830793.954846],
turb.turbine_center_of_mass,m,[-0.3891351   0.         67.71290541],
turb.turbine_I_base,kg*m**2,"[4.36128297e+09 4.26875366e+09 2.48068990e+07 0.00000000e+00
 2.89884849e+07 0.00000000e+00]",
wind1.wind.U,m/s,"[ 0.          8.15813738  9.37123899 10.16284414 10.76472681 11.25602413
 11.67404235]",
wind1.windLoads.windLoads_Px,N/m,"[  0.         171.58306582 236.97042773 283.68092939 321.21730159
 353.21760529 381.39719019]",
wind1.windLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.windLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.windLoads.windLoads_qdyn,N/m**2,"[ 0.         40.76506337 53.7898236  63.26108317 70.97609776 77.60257345
 83.47349968]",
wind1.windLoads.windLoads_z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
wind1.windLoads.windLoads_beta,deg,[0.],
wind1.Px,N/m,"[  0.         171.58306582 236.97042773 283.68092939 321.21730159
 353.21760529 381.39719019]",
wind1.Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind1.qdyn,N/m**2,"[ 0.         40.76506337 53.7898236  63.26108317 70.97609776 77.60257345
 83.47349968]",
pre1.kidx,,[0.],
pre1.kx,N/m,[1.e+30],
pre1.ky,N/m,[1.e+30],
pre1.kz,N/m,[1.e+30],
pre1.ktx,N/m,[1.e+30],
pre1.kty,N/m,[1.e+30],
pre1.ktz,N/m,[1.e+30],
pre1.midx,,[0. 0.],
pre1.m,kg,[0. 0.],
pre1.mIxx,kg*m**2,[0. 0.],
pre1.mIyy,kg*m**2,[0. 0.],
pre1.mIzz,kg*m**2,[0. 0.],
pre1.mIxy,kg*m**2,[0. 0.],
pre1.mIxz,kg*m**2,[0. 0.],
pre1.mIyz,kg*m**2,[0. 0.],
pre1.mrhox,m,[0. 0.],
pre1.mrhoy,m,[0. 0.],
pre1.mrhoz,m,[0. 0.],
pre1.plidx,,[6.],
pre1.Fx,N,[1284744.19620519],
pre1.Fy,N,[0.],
pre1.Fz,N,[-2914124.84400512],
pre1.Mxx,N*m,[3963732.76208099],
pre1.Myy,N*m,[-2275104.79420872],
pre1.Mzz,N*m,[-346781.68192839],
tower1.mass,kg,[509528.17670898],
tower1.f1,Hz,[0.41570936],
tower1.f2,Hz,[0.41570936],
tower1.structural_frequencies,Hz,[0.41570936 0.41570936 3.96017775 3.96017775 5.19799315 8.33675425],
tower1.fore_aft_modes,,"[[ 1.86384705e+00 -8.22623766e-01  2.49969403e-01 -8.44462453e-01
   5.53269764e-01]
 [ 4.38747582e+03 -7.32788736e+03 -4.70786869e+03  1.39209458e+04
  -6.48793377e+03]
 [ 1.17596256e+02 -5.45007029e+02  9.07498911e+02 -6.51940288e+02
   1.72852150e+02]]",
tower1.side_side_modes,,"[[ 1.86384705e+00 -8.22623766e-01  2.49969403e-01 -8.44462453e-01
   5.53269764e-01]
 [-2.03814396e+01  3.40407332e+01  2.18697824e+01 -6.46679156e+01
   3.01388397e+01]
 [ 1.17596256e+02 -5.45007029e+02  9.07498911e+02 -6.51940288e+02
   1.72852150e+02]]",
tower1.torsion_modes,,"[[ 17.7124851  -58.82139519  89.61626046 -68.46577031  20.95841994]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]",
tower1.fore_aft_freqs,Hz,[ 0.41570936  3.96017775 13.62126839],
tower1.side_side_freqs,Hz,[ 0.41570936  3.96017775 13.62126839],
tower1.torsion_freqs,Hz,[8.33675425 0.         0.        ],
tower1.tower_deflection,m,"[0.         0.04089536 0.15143496 0.31746847 0.50986101 0.70893236
 0.9111301 ]",
tower1.top_deflection,m,[0.9111301],
tower1.tower_Fz,N,"[-7580970.54431686 -7251209.80026732 -6921443.9529042  -5585758.58174474
 -4249985.54544505 -2914124.84400513]",
tower1.tower_Vx,N,"[1306691.87607382 1304495.25240235 1301320.38902543 1303821.7714548
 1299203.22681624 1293982.70454392]",
tower1.tower_Vy,N,"[ -17.0095432   -50.93314275  -84.58150181 -426.74204741 -459.87186384
 -492.54267444]",
tower1.tower_Mxx,N*m,"[4218748.64448621 4184558.97035378 4130252.68403254 4065681.68561776
 4009528.98849135 3963772.21813765]",
tower1.tower_Myy,N*m,"[97724891.75584139 77837061.5894259  57633651.3921212  37363032.830763
 17380205.10081856 -2275038.73117742]",
tower1.tower_Mzz,N*m,"[-346907.02610277 -346901.79751026 -346896.56914748 -346808.74951367
 -346803.5243054  -346798.29959874]",
tower1.base_F,N,[ 1.30794443e+06 -1.70095432e+01 -7.91072615e+06],
tower1.base_M,N*m,[ 4.23066332e+06  1.17131339e+08 -3.46907026e+05],
post1.axial_stress,N/m**2,"[ 1.95035701e+08  1.50953508e+08  1.06186613e+08  1.63316840e+07
  6.29280051e+06 -5.06021288e+04]",
post1.shear_stress,N/m**2,"[8330347.69789226 8316868.12405373 8297448.79586246 2047887.1231076
 2040841.38577117 2032896.80746652]",
post1.hoop_stress,N/m**2,"[ -4973.79376712 -11536.93238548 -14281.96174371  -3993.29328903
  -4420.21487442  -4792.32728285]",
post1.hoop_stress_euro,N/m**2,"[-3232.96594863 -7499.00605056 -9283.27513341 -2595.64063787
 -2873.13966837 -3115.01273385]",
post1.constr_stress,,[0.76272753 0.5914156  0.41793111 0.0651861  0.02815635 0.01373351],
post1.constr_shell_buckling,,"[2.55917507e+00 1.78373803e+00 1.10915096e+00 6.87386112e-03
 1.55142401e-03 4.62008339e-04]",
post1.constr_global_buckling,,[1.00078768 0.84484132 0.68664974 0.19954915 0.15599908 0.12434454],
post1.turbine_F,N,[0. 0. 0.],Total force on tower+rna
post1.turbine_M,N*m,[0. 0. 0.],Total x-moment on tower+rna measured at base
wind2.wind.U,m/s,"[ 0.         48.6541746  55.88897032 60.61001064 64.19956827 67.12960785
 69.62261951]",
wind2.windLoads.windLoads_Px,N/m,"[    0.          7969.69618768 11464.67407653 14282.94288658
 16742.77693827 18967.88138682 21023.17110112]",
wind2.windLoads.windLoads_Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.windLoads.windLoads_Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.windLoads.windLoads_qdyn,N/m**2,"[   0.         1449.92758225 1913.19091482 2250.06370101 2524.47054693
 2760.1603528  2968.97685322]",
wind2.windLoads.windLoads_z,m,[ 0.  14.6 29.2 43.8 58.4 73.  87.6],
wind2.windLoads.windLoads_beta,deg,[0.],
wind2.Px,N/m,"[    0.          7969.69618768 11464.67407653 14282.94288658
 16742.77693827 18967.88138682 21023.17110112]",
wind2.Py,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.Pz,N/m,[0. 0. 0. 0. 0. 0. 0.],
wind2.qdyn,N/m**2,"[   0.         1449.92758225 1913.19091482 2250.06370101 2524.47054693
 2760.1603528  2968.97685322]",
pre2.kidx,,[0.],
pre2.kx,N/m,[1.e+30],
pre2.ky,N/m,[1.e+30],
pre2.kz,N/m,[1.e+30],
pre2.ktx,N/m,[1.e+30],
pre2.kty,N/m,[1.e+30],
pre2.ktz,N/m,[1.e+30],
pre2.midx,,[0. 0.],
pre2.m,kg,[0. 0.],
pre2.mIxx,kg*m**2,[0. 0.],
pre2.mIyy,kg*m**2,[0. 0.],
pre2.mIzz,kg*m**2,[0. 0.],
pre2.mIxy,kg*m**2,[0. 0.],
pre2.mIxz,kg*m**2,[0. 0.],
pre2.mIyz,kg*m**2,[0. 0.],
pre2.mrhox,m,[0. 0.],
pre2.mrhoy,m,[0. 0.],
pre2.mrhoz,m,[0. 0.],
pre2.plidx,,[6.],
pre2.Fx,N,[930198.60063279],
pre2.Fy,N,[0.],
pre2.Fz,N,[-2883106.12368949],
pre2.Mxx,N*m,[-1683669.22411597],
pre2.Myy,N*m,[-2522475.34625363],
pre2.Mzz,N*m,[147301.97023764],
tower2.mass,kg,[509528.17670898],
tower2.f1,Hz,[0.41576923],
tower2.f2,Hz,[0.41576923],
tower2.structural_frequencies,Hz,[0.41576923 0.41576923 3.96023984 3.96023984 5.19799665 8.33675425],
tower2.fore_aft_modes,,"[[ -367.56764767   162.28563409   -49.34189656   166.52260088
   -109.09248918]
 [ 4392.31389679 -7336.03637098 -4712.83394603 13936.0376104
  -6494.98735618]
 [  117.59606223  -545.00592324   907.49661621  -651.93822652
    172.85147132]]",
tower2.side_side_modes,,"[[ 1.86399192e+00 -8.22975344e-01  2.50220326e-01 -8.44461652e-01
   5.53224747e-01]
 [-2.03813839e+01  3.40409581e+01  2.18686733e+01 -6.46665377e+01
   3.01382901e+01]
 [ 1.17596062e+02 -5.45005923e+02  9.07496616e+02 -6.51938227e+02
   1.72851471e+02]]",
tower2.torsion_modes,,"[[ 17.7124851  -58.82139519  89.61626046 -68.46577031  20.95841994]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]",
tower2.fore_aft_freqs,Hz,[ 0.41576923  3.96023984 13.62132231],
tower2.side_side_freqs,Hz,[ 0.41576923  3.96023984 13.62132231],
tower2.torsion_freqs,Hz,[8.33675425 0.         0.        ],
tower2.tower_deflection,m,"[0.         0.05154822 0.18697345 0.38502671 0.61070498 0.84265786
 1.07713361]",
tower2.top_deflection,m,[1.07713361],
tower2.tower_Fz,N,"[-7549951.82400121 -7220191.07995168 -6890425.23258856 -5554739.86142908
 -4218966.8251294  -2883106.12368949]",
tower2.tower_Vx,N,"[2039721.23008724 1898797.41094529 1711546.86469723 1493144.12690229
 1232743.62365316  940924.55752097]",
tower2.tower_Vy,N,"[  7.22266427  21.6276063   35.91615138 181.21169828 195.2818641
 209.15819347]",
tower2.tower_Mxx,N*m,"[-1791403.91978297 -1776945.44824911 -1753983.81386405 -1726687.27291484
 -1702974.77651068 -1683685.98313811]",
tower2.tower_Myy,N*m,"[ 1.17819390e+08  8.79989111e+07  6.01907684e+07  3.52894907e+07
  1.42153494e+07 -2.52242835e+06]",
tower2.tower_Mzz,N*m,"[147355.00366412 147352.78273172 147350.56189691 147313.41616768
 147311.19666821 147308.9773818 ]",
tower2.base_F,N,[ 2.09790001e+06  7.22266427e+00 -7.87970743e+06],
tower2.base_M,N*m,[-1.79644334e+06  1.48563248e+08  1.47355004e+05],
post2.axial_stress,N/m**2,"[ 2.40787737e+08  1.74020199e+08  1.11852053e+08  1.50764756e+07
  4.31524952e+06 -8.98438018e+05]",
post2.shear_stress,N/m**2,"[12554186.00154504 11698240.28884824 10561010.68011661  2274049.12201375
  1884655.44592439  1448351.95778014]",
post2.hoop_stress,N/m**2,"[-176907.3852636  -410344.42476683 -507979.34671445 -142033.04508196
 -157217.74813148 -170453.00401083]",
